project_id,title,country,climate_bin,typology,massing_type,image_ids,lat,lon,categories,city,architect,description,keywords
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School Teynampet Chennai Ksm Arc,India,tropical,school,,"[""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_1"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_2"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_3"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_4"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_5"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_1"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_2"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_3"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_4"", ""i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_5""]",13.0843007,80.2704622,"interiors,exteriors",Chennai,Ksm Arc,"Anjuman School is likely an educational institution located in Teynampet, Chennai, designed by Ksm Arc.","Anjuman School,Teynampet,Chennai,education,Ksm Arc,architecture"
p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C,China,subtropical,cultural center,,"[""i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_1"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_2"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_3"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_4"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_5"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_1"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_2"", ""i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_3""]",26.7094199,113.26948,"interiors,exteriors",Anren,,The Anren Culture Center is likely a facility designed to promote cultural activities and community engagement for the Sect of Great C.,"Anren,Culture Center,cultural activities,community engagement,Sect of Great C"
p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library Territo,,,library,,"[""i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_1"", ""i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_2"", ""i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_3"", ""i_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_exterior_1"", ""i_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_exterior_2"", ""i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_1"", ""i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_2"", ""i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_3"", ""i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_4"", ""i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_5""]",,,"diagrams,interiors,exteriors",,Antonio Raimondi,"The Antonio Raimondi College Library Territo is likely a library associated with an educational institution, designed to support academic research and study.","library,Antonio Raimondi,education,college,academic"
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below Khaa Kuo Huang And Ass,Taiwan,tropical,,,"[""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_1"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_2"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_3"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exterior_1"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exterior_2"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interior_1"", ""i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interior_2""]",24.525396,120.7731331,"diagrams,interiors,exteriors",,Khaa Kuo Huang,"The project titled 'As Above So Below' suggests a conceptual design that may explore themes of duality and reflection in architecture, potentially incorporating natural elements.","architecture,Khaa Kuo Huang,conceptual design,Taiwan,duality,nature"
p_as_salam_mosque_archeground_ltd_1030739,As Salam Mosque Archeground Ltd,Bangladesh,tropical,mosque,,"[""i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_1"", ""i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_2"", ""i_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_diagrams_p_as_salam_mosque_archeground_ltd_1030739_diagram_3"", ""i_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_exterior_1"", ""i_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_exteriors_p_as_salam_mosque_archeground_ltd_1030739_exterior_2"", ""i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_1"", ""i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_2"", ""i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_3"", ""i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_4"", ""i_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_p_as_salam_mosque_archeground_ltd_1030739_interiors_p_as_salam_mosque_archeground_ltd_1030739_interior_5""]",22.6577315,90.9103517,"diagrams,interiors,exteriors",null,null,"As Salam Mosque Archeground Ltd likely refers to a mosque project in Bangladesh, focusing on religious and community functions.","mosque,Bangladesh,religious architecture,community space"
p_atipografia_threshold_and_treasure_galle_993445,Atipografia Threshold And Treasure Galle,,,,,"[""i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_1"", ""i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_2"", ""i_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_diagrams_p_atipografia_threshold_and_treasure_galle_993445_diagram_3"", ""i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_1"", ""i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_2"", ""i_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_exteriors_p_atipografia_threshold_and_treasure_galle_993445_exterior_3"", ""i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_1"", ""i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_2"", ""i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_3"", ""i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_4"", ""i_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_p_atipografia_threshold_and_treasure_galle_993445_interiors_p_atipografia_threshold_and_treasure_galle_993445_interior_5""]",45.5217777,11.3355291,"diagrams,interiors,exteriors",,,"The project title suggests a conceptual exploration of thresholds and treasures, potentially indicating a space that engages with themes of discovery and transition.","threshold,treasure,galle,architecture,conceptual"
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos Mortuary Mesa Atelier,Spain,arid,mortuary,,"[""i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_1"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_2"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_diagrams_p_barrancos_mortuary_mesa_atelier_1033276_diagram_3"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_exterior_1"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_exteriors_p_barrancos_mortuary_mesa_atelier_1033276_exterior_2"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_1"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_2"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_3"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_4"", ""i_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_p_barrancos_mortuary_mesa_atelier_1033276_interiors_p_barrancos_mortuary_mesa_atelier_1033276_interior_5""]",38.1328809,-6.977312599999999,"diagrams,interiors,exteriors",,Atelier,"The Barrancos Mortuary is likely a facility designed for the purpose of handling funerary services, possibly incorporating elements of local culture and architecture. The term 'Atelier' suggests a focus on craftsmanship and design.","mortuary,funerary,architecture,Atelier,Spain"
p_basilica_di_massenzio_exhibition_pathway_1035088,Basilica Di Massenzio Exhibition Pathway,Italy,temperate,cultural center,,"[""i_p_basilica_di_massenzio_exhibition_pathway_1035088_diagrams_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_diagrams_p_basilica_di_massenzio_exhibition_pathway_1035088_diagram_1"", ""i_p_basilica_di_massenzio_exhibition_pathway_1035088_exteriors_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_exteriors_p_basilica_di_massenzio_exhibition_pathway_1035088_exterior_1"", ""i_p_basilica_di_massenzio_exhibition_pathway_1035088_exteriors_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_exteriors_p_basilica_di_massenzio_exhibition_pathway_1035088_exterior_2"", ""i_p_basilica_di_massenzio_exhibition_pathway_1035088_interiors_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_interiors_p_basilica_di_massenzio_exhibition_pathway_1035088_interior_1"", ""i_p_basilica_di_massenzio_exhibition_pathway_1035088_interiors_p_basilica_di_massenzio_exhibition_pathway_1035088_p_basilica_di_massenzio_exhibition_pathway_1035088_interiors_p_basilica_di_massenzio_exhibition_pathway_1035088_interior_2""]",41.8967068,12.4822025,"diagrams,interiors,exteriors",Rome,,"The Basilica Di Massenzio Exhibition Pathway likely refers to a pathway or exhibition space associated with the historical Basilica of Maxentius in Rome, showcasing its architectural significance and historical context.","Basilica Di Massenzio,exhibition,pathway,Rome,cultural heritage,architecture"
p_beijing_751_library_do_union_architectur_1020683,Beijing 751 Library Do Union Architectur,China,temperate,library,,"[""i_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_diagram_1"", ""i_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_diagram_2"", ""i_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_diagrams_p_beijing_751_library_do_union_architectur_1020683_diagram_3"", ""i_p_beijing_751_library_do_union_architectur_1020683_exteriors_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_exteriors_p_beijing_751_library_do_union_architectur_1020683_exterior_1"", ""i_p_beijing_751_library_do_union_architectur_1020683_exteriors_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_exteriors_p_beijing_751_library_do_union_architectur_1020683_exterior_2"", ""i_p_beijing_751_library_do_union_architectur_1020683_interiors_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_interiors_p_beijing_751_library_do_union_architectur_1020683_interior_1"", ""i_p_beijing_751_library_do_union_architectur_1020683_interiors_p_beijing_751_library_do_union_architectur_1020683_p_beijing_751_library_do_union_architectur_1020683_interiors_p_beijing_751_library_do_union_architectur_1020683_interior_2""]",39.904211,116.407395,"diagrams,interiors,exteriors",Beijing,Do Union Architectur,The Beijing 751 Library is likely a public library designed to serve the community with resources for education and information. The project may focus on modern architectural elements and community engagement.,"library,Beijing,architecture,Do Union Architectur,public space"
p_beijing_sub_center_library_sn_hetta_1024024,Beijing Sub Center Library Sn Hetta,China,temperate,library,,"[""i_p_beijing_sub_center_library_sn_hetta_1024024_diagrams_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_diagrams_p_beijing_sub_center_library_sn_hetta_1024024_diagram_1"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_diagrams_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_diagrams_p_beijing_sub_center_library_sn_hetta_1024024_diagram_2"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_exteriors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_exteriors_p_beijing_sub_center_library_sn_hetta_1024024_exterior_1"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_exteriors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_exteriors_p_beijing_sub_center_library_sn_hetta_1024024_exterior_2"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_interior_1"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_interior_2"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_interior_3"", ""i_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_p_beijing_sub_center_library_sn_hetta_1024024_interiors_p_beijing_sub_center_library_sn_hetta_1024024_interior_4""]",39.7485799,116.5629299,"diagrams,interiors,exteriors",Beijing,,"The Beijing Sub Center Library is likely a public library designed to serve the local community in the sub-center of Beijing, providing access to books, resources, and study spaces.","library,Beijing,public library,community center,architecture"
