project_id,location,source
p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Chennai  India,scrape
p_architecture_museum_xinyi_street_of_cora_1034714,Tainan  Taiwan,scrape
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,Xihu  Taiwan,scrape
p_as_salam_mosque_archeground_ltd_1030739,Ramgati Upazila  Bangladesh,scrape
p_atipografia_threshold_and_treasure_galle_993445,Arzignano  Italy,scrape
p_barrancos_mortuary_mesa_atelier_1033276,Barrancos  Portugal,scrape
p_basilica_di_massenzio_exhibition_pathway_1035088,Roma  Italy,scrape
p_beijing_751_library_do_union_architectur_1020683,Beijing  China,scrape
p_beijing_gaoliying_kindergarten_mat_offic_1033822,Beijing  China,scrape
p_beijing_sub_center_library_sn_hetta_1024024,Tongzhou  China,scrape
p_bloomberg_student_center_big_rockwell_gr_1035127,Baltimore  United States,scrape
p_brixen_public_library_carlana_mezzalira_1026833,Brixen  Italy,scrape
p_calder_gardens_museum_herzog_de_meuron_1034362,Philadelphia  United States,scrape
p_center_for_intangible_cultural_heritage_1035396,Gwangmyeong-si  South Korea,scrape
p_charlotte_william_bloomberg_medford_publ_987376,Medford  United States,scrape
p_chazal_school_renovation_and_playground_1035078,Schaerbeek  Belgium,scrape
p_chieng_ban_kindergarten_1_1_2_architects_1034717,Thành phố Sơn La  Vietnam,scrape
p_china_national_convention_center_phase_i_1034910,Beijing  China,scrape
p_church_borderouge_studio_aqui_triptyque_1031762,Toulouse  France,scrape
p_church_of_joy_department_of_architecture_1026972,Khet Khlong Toei  Thailand,scrape
p_claremont_mckenna_college_robert_day_sci_1034623,Claremont  United States,scrape
p_codec_training_centre_kuakata_community_1034720,Kuakata  Bangladesh,scrape
p_collector_s_house_museum_atelier_data_1024946,Moncarapacho  Portugal,scrape
p_coonawarra_willam_aquatic_centre_ivanhoe_1035598,Victoria  Australia,scrape
p_cube_workshop_building_civic_architects_1034679,Enschede  The Netherlands,scrape
p_datta_vihara_shrine_karan_darda_architec_1029737,Pune  India,scrape
p_david_rubenstein_treehouse_harvard_unive_1035475,Boston  United States,scrape
p_devalera_library_and_suil_gallery_keith_1029820,Ennis  Ireland,scrape
p_diriyah_art_futures_contemporary_art_hub_1023785,Diriyah  Saudi Arabia,scrape
p_dom_turka_house_of_remembrance_tremend_1032509,Augustów  Poland,scrape
p_elementary_school_at_le_grand_lemps_fran_935357,Le Grand-Lemps  France,scrape
p_elisabeth_and_robert_badinter_elementary_1034682,Audenge  France,scrape
p_event_hall_l_agora_and_ernest_hemingway_1029943,Le Grau-du-Roi  France,scrape
p_far_rockaway_library_sn_hetta_1022953,Queens  United States,scrape
p_fenix_art_museum_mad_architects_1030328,Rotterdam  The Netherlands,scrape
p_flower_on_hillside_community_library_st_1027318,Nujiang  China,scrape
p_frihamnskyrkan_church_elding_oscarson_1025436,Gothenburg  Sweden,scrape
p_gabrielle_roy_library_saucier_perrotte_a_1028861,Quebec City  Canada,scrape
p_ganga_leheri_temple_abin_design_studio_1030472,Roychak  India,scrape
p_gersthof_model_school_renovation_and_con_1034672,Wien  Austria,scrape
p_gimle_4_student_housing_code_arkitektur_1034566,Oslo  Norway,scrape
p_grentschel_school_extension_ahaa_1034558,Lyss  Switzerland,scrape
p_h_jvangen_church_henning_larsen_espen_su_1031123,Skanderborg  Denmark,scrape
p_h_l_ne_carr_re_d_encausse_school_archi5_1035464,Marly  France,scrape
p_hadrovi_a_mosque_arhingin_enjering_1026861,Podgorica  Montenegro,scrape
p_hagen_house_nendeln_cukrowicz_nachbaur_a_1034624,Nendeln  Liechtenstein,scrape
p_haksanjae_private_library_and_residence_1032024,Gangneung-si  South Korea,scrape
p_haus_der_digitalisierung_tulln_kronaus_m_1022449,Tulln an der Donau  Austria,scrape
p_hiraya_pavilion_in_sapporo_ykaa_1035509,Sapporo  Japan,scrape
p_hortensia_herrero_art_center_erre_1013611,València  Spain,scrape
p_huanglong_mountain_zisha_mineral_source_1023799,Wu Xi  China,scrape
p_iljuk_presbyterian_church_oh_jongsang_1027121,South Korea,scrape
p_inglewood_bird_sanctuary_expansion_the_m_1035158,Calgary  Canada,scrape
p_intervention_of_the_yulin_courtyard_hous_1021229,Yulin  China,scrape
p_irrawaddy_flower_garden_classroom_buildi_1035116,Mae Sot  Thailand,scrape
p_ixcampus_design_school_same_architectes_1035289,Saint-Germain-en-Laye  France,scrape
p_james_baldwin_media_library_and_refugee_1030349,Paris  France,scrape
p_judicial_morgue_for_the_city_of_ver_ofic_1030759,Santa Fe de la Vera Cruz  Argentina,scrape
p_jules_verne_school_barr_lambot_architect_1035346,Montaigu-Vendée  France,scrape
p_kampung_mrican_phase_1_and_microlibrary_1031619,Yogyakarta  Indonesia,scrape
p_kiihtelysvaara_church_luo_architects_1030415,Kiihtelysvaara  Finland,scrape
