project_id,title,country,climate_bin,typology,massing_type,wwr_band,image_ids,plan_ids,tags,lat,lon
p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School Teynampet Chennai Ksm Arc 1034548 Exteriors P Anjuman School Teynampet Chennai Ksm Arc,unknown,unknown,unknown,unknown,unknown,"['i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_1', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_2', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_3', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_4', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exteriors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_exterior_5']",[],[],13.0843007,80.2704622
p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548,Anjuman School Teynampet Chennai Ksm Arc 1034548 Interiors P Anjuman School Teynampet Chennai Ksm Arc,unknown,unknown,unknown,unknown,unknown,"['i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_1', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_2', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_3', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_4', 'i_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interiors_p_anjuman_school_teynampet_chennai_ksm_arc_1034548_interior_5']",[],[],13.0843007,80.2704622
p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C 1032785 Exteriors P Anren Culture Center For Sect Of Great C,unknown,unknown,unknown,unknown,unknown,"['i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_1', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_2', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_3', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_4', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_exteriors_p_anren_culture_center_for_sect_of_great_c_1032785_exterior_5']",[],[],26.7094199,113.26948
p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785,Anren Culture Center For Sect Of Great C 1032785 Interiors P Anren Culture Center For Sect Of Great C,unknown,unknown,unknown,unknown,unknown,"['i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_1', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_2', 'i_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_p_anren_culture_center_for_sect_of_great_c_1032785_interiors_p_anren_culture_center_for_sect_of_great_c_1032785_interior_3']",[],[],26.7094199,113.26948
p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library Territo 1030084 Diagrams P Antonio Raimondi College Library Territo,unknown,unknown,unknown,unknown,unknown,"['i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_1', 'i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_2', 'i_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_diagrams_p_antonio_raimondi_college_library_territo_1030084_diagram_3']",[],[],0.0,0.0
p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library Territo 1030084 Exteriors P Antonio Raimondi College Library Territo,unknown,unknown,unknown,unknown,unknown,"['i_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_exterior_1', 'i_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_exteriors_p_antonio_raimondi_college_library_territo_1030084_exterior_2']",[],[],0.0,0.0
p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084,Antonio Raimondi College Library Territo 1030084 Interiors P Antonio Raimondi College Library Territo,unknown,unknown,unknown,unknown,unknown,"['i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_1', 'i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_2', 'i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_3', 'i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_4', 'i_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_p_antonio_raimondi_college_library_territo_1030084_interiors_p_antonio_raimondi_college_library_territo_1030084_interior_5']",[],[],0.0,0.0
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below Khaa Kuo Huang And Ass 1035348 Diagrams P As Above So Below Khaa Kuo Huang And Ass,unknown,unknown,unknown,unknown,unknown,"['i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_1', 'i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_2', 'i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagrams_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_diagram_3']",[],[],24.525396,120.7731331
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below Khaa Kuo Huang And Ass 1035348 Exteriors P As Above So Below Khaa Kuo Huang And Ass,unknown,unknown,unknown,unknown,unknown,"['i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exterior_1', 'i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exteriors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_exterior_2']",[],[],24.525396,120.7731331
p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348,As Above So Below Khaa Kuo Huang And Ass 1035348 Interiors P As Above So Below Khaa Kuo Huang And Ass,unknown,unknown,unknown,unknown,unknown,"['i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interior_1', 'i_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interiors_p_as_above_so_below_khaa_kuo_huang_and_ass_1035348_interior_2']",[],[],24.525396,120.7731331
